Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,VideoBusy,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,2.1615,13.7964,13.6618,0.1346,0.5955,13.7050,1.2248,12.4802,0.0000,19.6110,11.7043,NA,2.1615,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,15.9579,16.9827,16.8424,0.1403,0.5041,17.0148,1.2807,15.7341,0.0000,17.5189,17.4591,2.0921,15.9579,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,32.9406,16.0977,15.9836,0.1141,0.5362,16.1179,1.2868,14.8311,0.0000,17.9953,15.9525,-0.4764,32.9406,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,49.0383,17.3673,17.2207,0.1466,0.5564,17.2937,1.3800,15.9137,0.0000,17.8501,16.7962,0.1452,49.0383,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,66.4056,16.6951,16.5279,0.1672,0.4828,16.7962,1.2837,15.5125,0.0000,17.2790,21.4386,0.5711,66.4056,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,83.1007,16.4829,16.3506,0.1323,0.5839,16.4185,1.2792,15.1393,0.0000,22.0225,16.6389,-4.7435,83.1007,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,99.5836,16.8194,16.7231,0.0963,0.5195,16.8452,1.2537,15.5915,0.0000,22.1785,11.6946,-0.1560,99.5836,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,116.4030,16.5258,16.3550,0.1708,0.5453,16.5084,1.3961,15.1123,0.0000,17.0537,21.6520,5.1248,116.4030,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,132.9288,16.2446,16.1124,0.1322,0.5279,16.2233,1.2355,14.9878,0.0000,22.1799,12.4968,-5.1262,132.9288,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,149.1734,16.6570,16.5267,0.1303,0.5066,16.6724,1.2787,15.3937,0.0000,18.4321,16.6687,3.7478,149.1734,NA,NA,NA
