"Time","VALORANT-Win64-Shipping.WorkingSetMB","VALORANT-Win64-Shipping.CPUSeconds","recorder-proto.WorkingSetMB","recorder-proto.CPUSeconds","GPU.3D.Pct","GPU.VideoEncode.Pct"
"2026-08-15T01:37:41.1149277+08:00","2192","48386.75","86","0.734","21.44","14.84"
"2026-08-15T01:37:44.6285521+08:00","2191.2","48402.219","86.2","1.031","22.05","15.02"
"2026-08-15T01:37:47.7144122+08:00","2191.3","48417.375","86.3","1.266","22.48","14.06"
"2026-08-15T01:37:50.7912280+08:00","2191.2","48432.453","86.3","1.484","22.23","14.76"
"2026-08-15T01:37:53.8685651+08:00","2191.1","48447.234","86.3","1.719","22.58","14.94"
"2026-08-15T01:37:56.9315358+08:00","2191","48461.281","86.3","1.891","20.08","16.07"
"2026-08-15T01:38:00.0015947+08:00","2191.3","48475.812","86.3","1.969","22.24","15.67"
"2026-08-15T01:38:03.0796434+08:00","2191.4","48490.047","86.3","2.047","22.56","14.37"
"2026-08-15T01:38:06.1426983+08:00","2191.2","48503.781","86.3","2.094","21.8","15.26"
"2026-08-15T01:38:09.2115937+08:00","2191.2","48517.172","85.8","2.266","23.16","14.55"
"2026-08-15T01:38:12.2916793+08:00","2191.1","48531.047","85.9","2.359","22.06","15.09"
"2026-08-15T01:38:15.3702943+08:00","2191.1","48545.156","85.9","2.516","21.64","14.89"
"2026-08-15T01:38:18.4485790+08:00","2191.1","48559.156","86","2.672","22.47","15"
"2026-08-15T01:38:21.5172038+08:00","2191.1","48573.438","86","2.875","22.91","14.92"
"2026-08-15T01:38:24.5959819+08:00","2191.1","48587.875","86.2","2.984","21.64","14.57"
"2026-08-15T01:38:27.6751712+08:00","2191.3","48601.953","86.3","3.203","21.79","15.39"
"2026-08-15T01:38:30.7534070+08:00","2191.3","48617.281","86.6","3.297","22.84","13.64"
"2026-08-15T01:38:33.8156569+08:00","2191.3","48631.266","86.8","3.484","23.3","14.23"
"2026-08-15T01:38:36.9014316+08:00","2191.3","48645.562","86.4","3.719","22.41","14.9"
"2026-08-15T01:38:39.9844138+08:00","2191.3","48659.906","86.1","3.922","20.87","14.99"
