Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,VideoBusy,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,2.7824,3.4813,3.3652,0.1161,0.7707,3.7336,1.3506,2.3830,0.0000,4.5043,2.6862,NA,2.7824,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,6.2637,3.1559,2.9773,0.1786,1.0230,2.6862,1.2291,1.4571,0.0000,3.7092,2.8171,0.7951,6.2637,NA,1.0757,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,9.4196,2.6904,2.5664,0.1240,0.5533,2.8171,1.2456,1.5715,0.0000,3.3704,3.6623,0.3388,9.4196,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,12.1100,3.7053,3.5368,0.1685,0.6800,3.6162,1.0862,2.5300,0.0000,4.3423,4.7658,-0.9719,12.1100,0.0461,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,15.8153,4.7774,4.6378,0.1396,0.5909,4.8119,1.2859,3.5260,0.0000,5.4028,4.3355,-1.0605,15.8153,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,20.5927,4.4597,4.3106,0.1491,0.6254,4.3355,1.2469,3.0886,0.0000,4.9609,3.4350,0.4419,20.5927,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,25.0524,3.3335,3.1882,0.1453,0.5012,3.4350,1.1228,2.3122,0.0000,3.9362,2.9056,1.0247,25.0524,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,28.3859,3.1432,2.8272,0.3160,0.6027,2.9056,0.9090,1.9966,0.0000,3.5083,4.6072,0.4279,28.3859,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,31.5291,4.4730,4.3181,0.1549,0.3651,4.6072,1.1659,3.4413,0.0000,4.9723,3.5912,-1.4640,31.5291,NA,1.2296,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,36.0021,3.4779,3.3427,0.1352,0.4993,3.5912,1.2487,2.3425,0.0000,4.0905,4.2223,0.8818,36.0021,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,39.4800,4.4158,4.2777,0.1381,0.6126,4.2223,1.0995,3.1228,0.0000,4.8349,3.7103,-0.7444,39.4800,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,43.8958,3.6131,3.4596,0.1535,0.4191,3.7103,1.1984,2.5119,0.0000,4.1294,3.1903,0.7055,43.8958,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,47.5089,3.3244,3.1741,0.1503,0.5163,3.1903,1.0694,2.1209,0.0000,3.7066,3.9663,0.4228,47.5089,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,50.8333,3.6295,3.5230,0.1065,0.3822,3.9663,1.4454,2.5209,0.0000,4.3485,4.1048,-0.6419,50.8333,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,54.4628,4.4792,4.1192,0.3600,0.7190,4.1048,1.2174,2.8874,0.0000,4.8238,3.2543,-0.4753,54.4628,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,58.9420,2.9158,2.7924,0.1234,0.3446,3.2543,1.2534,2.0009,0.0000,3.5989,3.3310,1.2249,58.9420,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,61.8578,3.5488,3.4250,0.1238,0.6831,3.3310,0.9381,2.3929,0.0000,4.0141,3.7217,-0.4152,61.8578,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,65.4066,3.7321,3.5977,0.1344,0.4653,3.7217,1.1443,2.5774,0.0000,4.1870,3.9676,-0.1729,65.4066,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,69.1387,3.8896,3.7756,0.1140,0.4549,3.9676,1.2649,2.7027,0.0000,4.4225,2.6982,-0.2355,69.1387,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,73.0283,2.7312,2.6050,0.1262,0.5329,2.6982,1.1412,1.5570,0.0000,3.2311,4.3193,1.1914,73.0283,NA,1.4843,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,75.7595,4.3152,4.1819,0.1333,0.4999,4.3193,1.0773,3.2420,0.0000,4.8192,3.3335,-1.5881,75.7595,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,80.0747,3.3377,3.2118,0.1259,0.5040,3.2537,1.1757,2.0780,0.0000,3.8375,4.7162,0.9817,80.0747,0.0798,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,83.4124,4.2443,4.1188,0.1255,0.4200,4.7960,1.4558,3.3402,0.0000,5.2160,2.4229,-1.3785,83.4124,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,87.6567,2.9501,2.8105,0.1396,0.9717,2.4229,0.9403,1.4826,0.0000,3.3946,3.5961,1.8214,87.6567,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,90.6068,3.5473,3.4030,0.1443,0.4445,3.5961,1.3225,2.2736,0.0000,4.0406,5.1194,-0.6460,90.6068,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,94.1541,4.8243,4.6523,0.1720,0.4933,5.1194,1.5330,3.5864,0.0000,5.6127,3.5685,-1.5721,94.1541,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,98.9784,3.8231,3.6779,0.1452,0.7884,3.5685,1.0029,2.5656,0.0000,4.3569,4.7762,1.2558,98.9784,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,102.8015,4.4073,4.2399,0.1674,0.5338,4.7762,1.6317,3.1445,0.0000,5.3100,3.5242,-0.9531,102.8015,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,107.2088,3.7948,3.6183,0.1765,0.9027,3.5242,1.0158,2.5084,0.0000,4.4269,4.3635,0.8831,107.2088,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,111.0036,4.4975,4.0440,0.4535,0.6321,4.3635,1.3590,3.0045,0.0000,4.9956,4.5431,-0.5687,111.0036,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,115.5011,4.1542,3.9833,0.1709,0.4981,4.5431,1.6460,2.8971,0.0000,5.0412,4.3264,-0.0456,115.5011,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,119.6553,4.6061,4.3843,0.2218,0.8870,4.3264,1.2390,3.0874,0.0000,5.2134,4.6269,-0.1722,119.6553,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,124.2614,4.7716,4.5775,0.1941,0.6073,4.6269,1.6527,2.9742,0.0000,5.2342,4.1699,-0.0208,124.2614,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,129.0330,4.2065,4.0419,0.1646,0.4626,4.1699,1.1644,3.0055,0.0000,4.6325,9.4984,0.6017,129.0330,NA,3.4966,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,133.2395,5.1526,4.9621,0.1905,0.4260,5.6701,1.6440,4.0261,0.0000,NA,NA,-5.2919,133.2395,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,138.3921,3.9355,3.7118,0.2237,0.9435,3.6048,1.3542,2.2506,0.0000,4.5483,8.5577,NA,138.3921,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,142.3276,4.9305,4.5874,0.3431,0.6128,4.7975,1.1437,3.6538,0.0000,NA,NA,-4.6222,142.3276,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,147.2581,3.6530,3.5192,0.1338,0.4798,3.6145,1.1281,2.4864,0.0000,4.0943,3.9174,NA,147.2581,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,150.9111,3.7362,3.5764,0.1598,0.4413,3.9174,1.3475,2.5699,0.0000,4.3587,4.1880,-0.2644,150.9111,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,154.6473,4.1766,4.0109,0.1657,0.6225,4.1880,1.4308,2.7572,0.0000,4.8105,4.3129,-0.4518,154.6473,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,158.8239,4.3548,4.2012,0.1536,0.6339,4.3129,1.1495,3.1634,0.0000,4.9468,8.5687,-0.1363,158.8239,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,163.1787,4.7912,4.6362,0.1550,0.5920,4.6771,1.1445,3.5326,0.0000,9.1607,4.1688,-4.2139,163.1787,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,167.9699,4.0099,3.6854,0.3245,0.4779,4.3690,1.2533,3.1157,0.0000,NA,NA,0.6224,167.9699,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,171.9798,3.8157,3.6682,0.1475,0.8370,3.4542,1.2256,2.2286,0.0000,4.2912,4.1541,NA,171.9798,NA,NA,NA
