Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,VideoBusy,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,30.8020,32.9216,32.7826,0.1390,0.5705,32.9290,1.4289,31.5001,0.0000,36.6253,33.3234,NA,30.8020,NA,12.4495,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,63.7236,33.3099,33.1629,0.1470,0.5779,33.3050,1.4144,31.8906,0.0000,37.0271,99.9948,-0.4018,63.7236,NA,12.7696,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,0,Composed: Flip,97.0335,32.8949,32.7534,0.1415,0.5730,32.7766,1.3110,31.4656,0.0000,NA,NA,NA,NA,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,0,Composed: Flip,129.9284,32.9720,32.8249,0.1471,31.0638,2.2983,1.2865,1.0118,0.0000,NA,NA,NA,NA,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware Composed: Independent Flip,162.9004,33.9573,33.8461,0.1112,30.7194,4.0664,1.6513,2.4151,0.0000,37.8451,33.3303,-0.8180,162.9004,NA,106.7594,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,196.8577,33.3092,33.1647,0.1445,0.8285,33.0447,1.3989,31.6458,0.0000,37.2181,33.3327,0.6270,196.8577,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,230.1669,33.1402,32.9995,0.1407,0.5640,33.1109,1.4653,31.6456,0.0000,37.2416,33.3311,-0.0235,230.1669,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,263.3071,32.9649,32.8179,0.1470,0.5347,32.9841,1.3524,31.6317,0.0000,37.4325,33.3421,-0.1909,263.3071,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,296.2720,33.7570,33.6194,0.1376,0.5539,33.7360,1.3707,32.3653,0.0000,37.8097,33.3267,-0.3772,296.2720,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,330.0290,32.8164,32.7070,0.1094,0.5329,32.9633,1.3949,31.5684,0.0000,37.3794,33.3287,0.4303,330.0290,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,362.8454,33.4729,33.3365,0.1364,0.6798,33.3372,1.3806,31.9566,0.0000,37.8917,33.3498,-0.5123,362.8454,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,396.3183,33.5869,33.4523,0.1346,0.5441,33.5990,1.3908,32.2082,0.0000,37.7686,33.3249,0.1231,396.3183,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,429.9052,33.0471,32.9176,0.1295,0.5562,33.0357,1.3457,31.6900,0.0000,37.5066,33.3377,0.2620,429.9052,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,462.9523,33.6300,33.5178,0.1122,0.5448,33.7247,1.4212,32.3035,0.0000,37.7972,33.3475,-0.2906,462.9523,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,496.5823,33.4561,33.3089,0.1472,0.6395,33.4225,1.3863,32.0362,0.0000,37.5147,33.3173,0.2825,496.5823,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,530.0384,33.0086,32.8621,0.1465,0.6059,32.9408,1.3973,31.5435,0.0000,37.3759,33.3270,0.1388,530.0384,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,563.0470,33.5816,33.4459,0.1357,0.5381,33.5925,1.3533,32.2392,0.0000,37.6943,33.3341,-0.3184,563.0470,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,596.6286,33.0534,32.9256,0.1278,0.5490,33.0114,1.4784,31.5330,0.0000,37.4468,33.3389,0.2475,596.6286,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,629.6820,32.9674,32.8602,0.1072,0.5070,33.0721,1.4024,31.6697,0.0000,37.7323,33.3327,-0.2855,629.6820,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,662.6494,33.7614,33.6124,0.1490,0.6117,33.7050,1.3650,32.3400,0.0000,38.0976,33.3327,-0.3653,662.6494,NA,13.7585,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,696.4108,33.9190,33.7772,0.1418,0.5553,33.9189,1.3763,32.5426,0.0000,37.6689,33.3366,0.4287,696.4108,NA,14.0996,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,730.3298,32.9820,32.8473,0.1347,0.5552,32.9646,1.3537,31.6109,0.0000,37.0865,33.3245,0.5824,730.3298,NA,13.4156,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,763.3118,32.7591,32.6183,0.1408,0.5378,32.8231,1.4166,31.4065,0.0000,37.4290,33.3585,-0.3425,763.3118,NA,40.7608,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,796.0709,33.5418,33.4287,0.1131,0.6018,33.5059,1.3563,32.1496,0.0000,38.0284,33.3152,-0.5994,796.0709,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,829.6127,33.4100,33.2628,0.1472,0.5659,33.3798,1.4125,31.9673,0.0000,37.8018,33.3272,0.2266,829.6127,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,863.0227,33.0773,32.9428,0.1345,0.5357,33.1586,1.4190,31.7396,0.0000,37.7190,33.3444,0.0828,863.0227,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,896.1000,33.4081,33.2658,0.1423,0.6170,33.3506,1.4021,31.9485,0.0000,37.9861,33.3374,-0.2671,896.1000,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,929.5081,33.6702,33.5363,0.1339,0.5595,33.5891,1.2720,32.3171,0.0000,37.9154,32.6936,0.0707,929.5081,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,963.1783,36.2990,36.1850,0.1140,0.4784,36.4604,1.4326,35.0278,0.0000,36.9388,31.8711,0.9766,963.1783,NA,34.1283,34.1283
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,999.4773,31.9287,31.7846,0.1441,0.6398,31.8711,1.4435,30.4276,0.0000,32.5109,6.1392,4.4279,999.4773,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,1031.4060,6.0354,5.8696,0.1658,0.5822,6.1392,1.4926,4.6466,0.0000,6.7214,3.9264,25.7895,1031.4060,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,1037.4414,3.9576,3.8129,0.1447,0.6860,3.9264,1.4544,2.4720,0.0000,4.6124,5.0602,2.1090,1037.4414,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,1041.3990,5.2277,5.0596,0.1681,0.6548,5.0602,1.3763,3.6839,0.0000,5.7150,4.9237,-1.1026,1041.3990,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,1046.6267,4.7507,4.6276,0.1231,0.4873,4.9237,1.4920,3.4317,0.0000,5.4110,4.5881,0.3040,1046.6267,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,1051.3774,4.6690,4.4851,0.1839,0.6603,4.5881,1.3480,3.2401,0.0000,5.2484,5.2954,0.1626,1051.3774,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,1056.0464,5.2845,5.1266,0.1579,0.5794,5.2954,1.4163,3.8791,0.0000,5.8748,4.6032,-0.6264,1056.0464,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,1061.3309,4.4091,4.2653,0.1438,0.5903,4.6032,1.5871,3.0161,0.0000,5.1935,4.1200,0.6813,1061.3309,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,1065.7400,4.1365,3.9888,0.1477,0.7844,4.1200,1.4000,2.7200,0.0000,4.9044,3.8300,0.2891,1065.7400,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,1069.8765,3.9288,3.7705,0.1583,0.7679,3.8300,1.2817,2.5483,0.0000,4.5979,5.2418,0.3065,1069.8765,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,1073.8053,5.4321,5.2935,0.1386,0.6691,5.2418,1.2701,3.9717,0.0000,5.9109,6.6488,-1.3130,1073.8053,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,1079.2374,4.7815,4.6351,0.1464,0.4788,6.6488,3.2116,3.4372,0.0000,7.1276,3.9625,-1.2167,1079.2374,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,1084.0189,5.7266,5.5756,0.1510,2.3461,3.9625,1.3088,2.6537,0.0000,6.3086,4.7905,0.8190,1084.0189,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,1089.7455,4.5760,4.3842,0.1918,0.5820,4.7905,1.6882,3.1023,0.0000,5.3725,4.0832,0.9361,1089.7455,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,1094.3215,4.3638,4.2098,0.1540,0.7965,4.0832,1.1641,2.9191,0.0000,4.8797,9.8885,0.4928,1094.3215,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,1098.6853,5.5858,5.3424,0.2434,0.5159,5.6561,1.4557,4.2004,0.0000,NA,NA,-5.5247,1098.6853,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,1104.2711,4.0052,3.8635,0.1417,0.5862,3.8570,1.3340,2.5230,0.0000,4.4432,4.3795,NA,1104.2711,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,1108.2763,4.3313,4.1959,0.1354,0.4380,4.3795,1.2062,3.1733,0.0000,4.8175,6.3035,-0.3743,1108.2763,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,1112.6076,6.1930,6.0726,0.1204,0.4862,6.3035,1.4033,4.9002,0.0000,6.7897,3.5928,-1.9722,1112.6076,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,1118.8006,3.6538,3.5179,0.1359,0.5967,3.5928,1.3031,2.2897,0.0000,4.1895,5.6737,2.6002,1118.8006,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,1122.4544,5.4122,5.2645,0.1477,0.5357,5.6737,1.6307,4.0430,0.0000,6.2094,4.0237,-2.0199,1122.4544,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,1127.8666,3.7936,3.6124,0.1812,0.7972,4.0237,1.6446,2.3791,0.0000,4.8209,5.2795,1.3885,1127.8666,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,1131.6602,5.8528,5.6974,0.1554,1.0273,5.2795,1.1942,4.0853,0.0000,6.3068,4.1056,-1.4859,1131.6602,NA,NA,NA
