"Time","VALORANT-Win64-Shipping.WorkingSetMB","VALORANT-Win64-Shipping.CPUSeconds","recorder-proto.WorkingSetMB","recorder-proto.CPUSeconds","GPU.3D.Pct","GPU.VideoEncode.Pct"
"2026-08-15T00:59:36.9297059+08:00","2281.3","42751.25",,,"17.49","9.4"
"2026-08-15T00:59:40.3428209+08:00","2290.7","42762.984",,,"18.18","9.33"
"2026-08-15T00:59:43.4275003+08:00","2288.1","42773.078",,,"19.37","9.24"
"2026-08-15T00:59:46.4986335+08:00","2309.2","42784.797",,,"14.97","9.47"
"2026-08-15T00:59:49.5742997+08:00","2312.1","42796.875",,,"15.15","9.46"
"2026-08-15T00:59:52.6336156+08:00","2310.1","42807.984",,,"16.41","9.47"
"2026-08-15T00:59:55.7110061+08:00","2310.1","42819.297",,,"16.97","9.54"
"2026-08-15T00:59:58.7886613+08:00","2309.8","42831.172",,,"14.77","9.44"
"2026-08-15T01:00:01.8658438+08:00","2309.8","42843.391",,,"16.09","9.33"
"2026-08-15T01:00:04.9378430+08:00","2311.2","42856.016",,,"16.38","9.89"
"2026-08-15T01:00:08.0085530+08:00","2311.3","42868.219",,,"15.96","9.86"
"2026-08-15T01:00:11.0867467+08:00","2310.5","42879.594",,,"16.58","9.42"
"2026-08-15T01:00:14.1619677+08:00","2310.2","42892.234",,,"17.32","9.34"
"2026-08-15T01:00:17.2218824+08:00","2313.3","42904.734",,,"16.15","9.81"
"2026-08-15T01:00:20.2764515+08:00","2313.6","42916.688",,,"16.71","9.72"
"2026-08-15T01:00:23.3485439+08:00","2313.6","42929.594",,,"16.29","9.45"
"2026-08-15T01:00:26.4388496+08:00","2313.6","42942.766",,,"16.39","9.43"
"2026-08-15T01:00:29.5054111+08:00","2313.6","42954.578",,,"16.84","9.51"
"2026-08-15T01:00:32.5739968+08:00","2313.8","42967.047",,,"16.58","9.51"
"2026-08-15T01:00:35.6357956+08:00","2313.7","42979.594",,,"16.66","9.3"
