"Time","VALORANT-Win64-Shipping.WorkingSetMB","VALORANT-Win64-Shipping.CPUSeconds","recorder-proto.WorkingSetMB","recorder-proto.CPUSeconds","GPU.3D.Pct","GPU.VideoEncode.Pct"
"2026-08-15T01:01:12.7742784+08:00","2352","43088.828","12.9","0.062","24.49","17.58"
"2026-08-15T01:01:16.1878758+08:00","2352.1","43092.453","84.2","0.391","33.04","17.86"
"2026-08-15T01:01:19.2799541+08:00","2352.2","43097.688","85.2","0.438","20.87","25.66"
"2026-08-15T01:01:22.3546526+08:00","2352.2","43109.875","85.8","0.641","16.73","17.5"
"2026-08-15T01:01:25.4377442+08:00","2353","43115.547","86.1","0.922","19.37","25.55"
"2026-08-15T01:01:28.4974975+08:00","2354.8","43127.672","86.1","1.062","19.6","24.77"
"2026-08-15T01:01:31.5604634+08:00","2354.8","43138.922","86.3","1.25","19.71","25.43"
"2026-08-15T01:01:34.6225337+08:00","2354.8","43150.562","85.8","1.359","19.13","24.65"
"2026-08-15T01:01:37.7015952+08:00","2354.2","43162.75","85.8","1.656","19.69","25.55"
"2026-08-15T01:01:40.7799309+08:00","2354.3","43174.266","86","1.828","19.49","24.82"
"2026-08-15T01:01:43.8450770+08:00","2354.3","43186.391","86","2.016","19.43","24.95"
"2026-08-15T01:01:46.9208355+08:00","2354.3","43198.688","86","2.219","19.21","25.22"
"2026-08-15T01:01:49.9984711+08:00","2336.9","43210.484","86.1","2.438","27.43","22.62"
"2026-08-15T01:01:53.0697047+08:00","2335.7","43220.594","86.3","2.75","26.64","22.7"
"2026-08-15T01:01:56.1237112+08:00","2332.7","43230.484","86.3","2.891","26.72","22.79"
"2026-08-15T01:01:59.2017504+08:00","2332.9","43241.578","87.3","2.984","20.19","25.25"
"2026-08-15T01:02:02.2727368+08:00","2335.1","43253.094","87.4","3.172","19.64","24.93"
"2026-08-15T01:02:05.3440006+08:00","2335.2","43264.906","87.4","3.297","19.91","24.77"
"2026-08-15T01:02:08.4062974+08:00","2335.2","43276.25","87.3","3.453","20.48","25.5"
"2026-08-15T01:02:11.4697440+08:00","2335.1","43289.047","87.4","3.812","20.45","25.2"
