Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,VideoBusy,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,8.0111,31.2648,31.1293,0.1355,0.5182,31.2981,1.2974,30.0007,0.0000,34.5064,33.3360,NA,8.0111,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,39.2759,33.4396,33.3118,0.1278,0.5515,33.4148,1.2576,32.1572,0.0000,36.5776,33.3495,-2.0712,39.2759,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,72.7155,33.1988,33.0645,0.1343,0.5267,33.2438,1.3292,31.9146,0.0000,36.4875,33.3221,0.0901,72.7155,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,105.9143,33.1301,32.9891,0.1410,0.5717,33.1932,1.3032,31.8900,0.0000,36.6108,31.1363,-0.1233,105.9143,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,139.0444,33.8007,33.6622,0.1385,0.6348,33.9822,1.7164,32.2658,0.0000,34.6170,33.1655,1.9938,139.0444,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,172.8451,32.9881,32.8467,0.1414,0.8163,33.1655,1.7239,31.4416,0.0000,33.9818,33.7244,0.6352,172.8451,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,205.8332,33.6871,33.5465,0.1406,0.9937,33.7244,1.7276,31.9968,0.0000,34.7181,33.2037,-0.7363,205.8332,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,239.5203,33.3972,33.2571,0.1401,1.0310,33.2037,1.7164,31.4873,0.0000,34.2347,33.1284,0.4834,239.5203,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,272.9175,33.2055,33.0434,0.1621,0.8375,33.1284,1.5227,31.6057,0.0000,33.9659,33.9950,0.2688,272.9175,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,306.1230,34.1236,33.9636,0.1600,0.7604,33.9950,1.7576,32.2374,0.0000,34.7554,33.2785,-0.7895,306.1230,NA,NA,NA
