Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,VideoBusy,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,2.5927,1.9511,1.8621,0.0890,0.7858,1.5885,0.6876,0.9009,0.0000,2.3743,8.9504,NA,2.5927,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,4.5438,6.7732,6.6672,0.1060,0.4232,6.7521,0.6684,6.0837,0.0000,9.3736,8.3354,-6.9993,4.5438,0.3729,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,11.3170,6.8465,6.7290,0.1175,0.4021,7.2104,1.0170,6.1934,0.0000,10.9358,8.3510,-1.5622,11.3170,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,18.1635,6.9556,6.8469,0.1087,0.7660,6.6028,0.6702,5.9326,0.0000,12.4403,4.2047,-1.5045,18.1635,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,25.1191,7.1083,7.0004,0.1079,0.4132,7.1210,0.6673,6.4537,0.0000,9.6894,8.2867,2.7509,25.1191,NA,5.8781,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,32.2274,6.8358,6.7275,0.1083,0.4259,6.8593,0.6939,6.1654,0.0000,10.8678,8.3399,-1.1784,32.2274,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,39.0632,6.7813,6.6407,0.1406,0.4494,6.7690,0.6682,6.1008,0.0000,12.3719,4.1585,-1.5041,39.0632,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,45.8445,6.9093,6.8192,0.0901,0.4371,6.9023,0.6617,6.2406,0.0000,9.7491,8.3486,2.6228,45.8445,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,52.7538,6.8755,6.7756,0.0999,0.4301,6.8870,0.6652,6.2218,0.0000,11.1884,8.3209,-1.4393,52.7538,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,59.6293,7.2470,7.1419,0.1051,0.4416,7.2272,0.6745,6.5527,0.0000,12.6338,4.1544,-1.4454,59.6293,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,66.8763,6.7424,6.6341,0.1083,0.4218,6.7442,0.6579,6.0863,0.0000,9.5412,8.3347,3.0926,66.8763,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,73.6187,6.9783,6.8669,0.1114,0.4236,6.9789,0.6714,6.3075,0.0000,11.1335,8.3385,-1.5923,73.6187,NA,NA,NA
