Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,VideoBusy,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,6.8276,3.6770,3.5383,0.1387,0.6514,3.5361,1.0838,2.4523,0.0000,4.1875,4.0024,NA,6.8276,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,10.5046,4.1296,3.9813,0.1483,0.5105,4.0024,1.0710,2.9314,0.0000,4.5129,4.9578,-0.3254,10.5046,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,14.6342,4.9302,4.7188,0.2114,0.3833,4.9578,1.1544,3.8034,0.0000,5.3411,8.6186,-0.8282,14.6342,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,19.5644,4.3354,4.1914,0.1440,0.4109,4.4149,1.4037,3.0112,0.0000,9.0295,4.1352,-3.6884,19.5644,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,23.8998,5.3200,5.1645,0.1555,0.4904,5.2784,1.1779,4.1005,0.0000,8.8293,4.1624,0.2002,23.8998,NA,6.1219,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,29.2198,4.0683,3.7735,0.2948,0.4488,3.9976,1.1159,2.8817,0.0000,7.6717,4.1629,1.1576,29.2198,NA,7.1554,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,33.2881,3.6868,3.5450,0.1418,0.3781,3.7132,1.0740,2.6392,0.0000,7.7663,4.1538,-0.0946,33.2881,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,36.9749,4.7182,4.5903,0.1279,0.4045,4.6847,1.1448,3.5399,0.0000,8.2333,4.1948,-0.4670,36.9749,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,41.6931,3.5542,3.4310,0.1232,0.3710,3.5352,1.3851,2.1501,0.0000,7.7099,4.2066,0.5234,41.6931,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,45.2473,4.2893,4.1588,0.1305,0.3520,4.3817,1.1638,3.2179,0.0000,8.3623,4.1132,-0.6524,45.2473,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,49.5366,4.1405,4.0178,0.1227,0.4444,4.2151,1.2099,3.0052,0.0000,8.1862,4.2404,0.1761,49.5366,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,53.6771,4.4668,4.3300,0.1368,0.5190,4.7461,1.0626,3.6835,0.0000,8.2861,4.0801,-0.0999,53.6771,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,58.1439,4.2017,4.0498,0.1519,0.7983,3.9594,1.1308,2.8286,0.0000,NA,NA,0.3867,58.1439,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,62.3456,3.1084,2.9711,0.1373,0.5560,2.9591,1.0735,1.8856,0.0000,3.5151,8.5853,NA,62.3456,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,65.4540,5.3402,5.1628,0.1774,0.4067,5.3963,1.2010,4.1953,0.0000,8.9920,4.1686,-5.4769,65.4540,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,70.7942,3.8328,3.6710,0.1618,0.4628,3.8240,1.3798,2.4442,0.0000,7.8204,4.1128,1.1716,70.7942,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,74.6270,4.2598,4.0743,0.1855,0.4540,4.2647,1.2288,3.0359,0.0000,8.1004,4.1654,-0.2800,74.6270,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,78.8868,3.7122,3.5732,0.1390,0.4589,3.9964,1.1073,2.8891,0.0000,8.0060,4.1553,0.0944,78.8868,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,82.5990,4.4361,4.2898,0.1463,0.7431,4.4381,1.1956,3.2425,0.0000,NA,NA,-0.4431,82.5990,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,87.0351,3.2423,3.0018,0.2405,0.7451,3.0852,1.1330,1.9522,0.0000,3.8303,3.5763,NA,87.0351,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,90.2774,3.7208,3.5700,0.1508,0.5880,3.5763,1.0652,2.5111,0.0000,4.1643,4.4658,-0.3340,90.2774,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,93.9982,4.4557,4.2958,0.1599,0.4435,4.4658,1.2533,3.2125,0.0000,4.9093,3.6457,-0.7450,93.9982,NA,NA,NA
VALORANT-Win64-Shipping.exe,6280,0x2348B6D8110,DXGI,0,512,1,Hardware: Independent Flip,98.4539,3.7041,3.5536,0.1505,0.4536,3.6457,1.2195,2.4262,0.0000,4.0993,9.3413,0.8100,98.4539,NA,NA,NA
