"Time","VALORANT-Win64-Shipping.WorkingSetMB","VALORANT-Win64-Shipping.CPUSeconds","recorder-proto.WorkingSetMB","recorder-proto.CPUSeconds","GPU.3D.Pct","GPU.VideoEncode.Pct"
"2026-08-15T01:33:18.1431639+08:00","2197.6","47371.453","85.4","0.844","21.74","14.03"
"2026-08-15T01:33:21.6312412+08:00","2197.5","47385.812","85.5","0.953","22.16","15.35"
"2026-08-15T01:33:24.7260307+08:00","2202.2","47399.953","85.9","1.281","19.53","15.71"
"2026-08-15T01:33:27.8033541+08:00","2201.8","47413.984","85.9","1.484","22.11","14.9"
"2026-08-15T01:33:30.8782407+08:00","2201.7","47427.938","86","1.594","22.54","14.93"
"2026-08-15T01:33:33.9605744+08:00","2201.6","47442.328","85.6","1.812","21.1","15.7"
"2026-08-15T01:33:37.0447136+08:00","2201.6","47456.266","85.6","2.031","18.77","15.84"
"2026-08-15T01:33:40.1233551+08:00","2201.8","47470.891","85.8","2.234","22.54","14.54"
"2026-08-15T01:33:43.2024041+08:00","2204.8","47485.469","86","2.422","22.44","15.24"
"2026-08-15T01:33:46.2804825+08:00","2207.7","47500.453","86.1","2.562","23.21","14.6"
"2026-08-15T01:33:49.3443771+08:00","2198.1","47514.359","86.1","2.734","21.9","14.75"
"2026-08-15T01:33:52.4202876+08:00","2197.7","47528.5","86.1","2.812","24.13","14.56"
"2026-08-15T01:33:55.4926094+08:00","2198","47543.203","86.1","3","21.53","14.45"
"2026-08-15T01:33:58.5611584+08:00","2198","47558.219","86.1","3.125","22.86","14.59"
"2026-08-15T01:34:01.6313052+08:00","2197.8","47572.938","86.2","3.328","22.03","14.85"
"2026-08-15T01:34:04.7024992+08:00","2197.8","47587.656","86.4","3.547","22.24","14.41"
"2026-08-15T01:34:07.7785053+08:00","2198.1","47602.422","86.1","3.734","22.89","14.65"
"2026-08-15T01:34:10.8606064+08:00","2198","47617.203","85.6","4.109","23.69","13.86"
"2026-08-15T01:34:13.9454676+08:00","2198","47632.5","85.2","4.312","21.54","14.7"
"2026-08-15T01:34:17.0100467+08:00","2198.1","47647.453","84.9","4.516","21.66","14.44"
